Part,Value,Device,Package,Description,,AMOUNT,WHERE,URL,,,
R15,220,R-US_R0805,R0805,"RESISTOR, American symbol",,1,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
R16 R19 R20,470,R-US_R0805,R0805,"RESISTOR, American symbol",,3,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
R17,33,R-US_R0805,R0805,"RESISTOR, American symbol",,1,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
R18,10,R-US_R0805,R0805,"RESISTOR, American symbol",,1,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
RESET,MBT3904DW1T1G,MBT3904DW1T1G,SOT236,ESP32 reset transistors,,1,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
U1,ESP32-S3-WROOM-2-N32R8V,ESP32-S3-WROOM-2-N32R8V,XCVR_ESP32-S3-WROOM-2-N32R8V,ESP32-S3,,1,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
U2,LD29150DT33R,LD29150DT33R,DPAK456P972X240-3N,Regulator - LD29150 Series 1.5 A 3.3 V,,1,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
U3,PCM5101APW,PCM5101APW,PW20_TEX,Audio I2S DAC,,1,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
USBKB,USB-A-S-X-X-SM2,USB-A-S-X-X-SM2,SAMTEC_USB-A-S-X-X-SM2,USB-A female connector,,1,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
X2,FH12-40S-0.5SH,FH12-40S-0.5SH,FH12-40S-0.5SH,40 pin 0.5mm FPC connector,,1,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
POWER,500ASSP1SM6QE,500ASSP1SM6QE,,Power switch,,1,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
JUMPER,,,,Jumper ,,1,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
J1,CSP-USC16-TR,CSP-USC16-TR,VALCON_CSP-USC16-TR,USB C connector,,1,TOBY,https://www.toby.co.uk/signal-to-board-connectors/usb-connectors/csp-usc16-tr-valcon-usb-type-c-surface-mount-pcb-socket/CSP-USC16-TR/,,,
U6,CH340C,CH340C,SO016,USB to Serial,,1,LCSC,https://www.lcsc.com/product-detail/USB_CH340C_C84681.html,,,
FPC CABLE,,,,A-B 40 Pin FPC cable,,1,ADAFRUIT,https://www.adafruit.com/product/4933,,,
DISPLAY,,,,"10.1"" RGB Display",,1,HOTMCU,https://www.hotmcu.com/101-inch-1024x600-tft-lcd-display-with-capacitive-touch-panel-p-215.html,,,
BATTERY HOLDER,,,,Optional 2 cell parallel 18650 Battery holder,,1,AMAZON,https://www.amazon.com/dp/B07FRYPYTK,,,
BOOST/CHARGER,J5019,,,Optional J5019 Charger circuit board,,1,AMAZON,https://www.amazon.com/dp/B08GWTBD3T,,,
BATTERY-18650,,,,Optional batteries,,2,18650BATTERYSTORE,https://www.18650batterystore.com/products/sanyo-ncr18650ga,,,
